Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.16192384,0.1481992,0.9326923125,0.7117941370202958,0.5933958248935667,0.6472018090161438,0.47858805826697115
0.16220213,0.16580541,0.9269688125,0.623992107538107,0.7538651805940724,0.6826195766981398,0.5183003968038578
0.16316664,0.14523715,0.9327013749999999,0.6832396835816033,0.6604881503843772,0.6715236870566914,0.5056398286602806
0.16297078,0.14642705,0.9326823125,0.6823500675981613,0.6628422601338375,0.6723355275680007,0.5066217592508542
0.16097927,0.14722194,0.932466,0.6891387114834422,0.6404256335155992,0.6638305100914192,0.49701179544818774
0.1613329,0.14817119,0.9313715625000001,0.6636303656928189,0.6928674750526385,0.6777941049253047,0.5128020388165053
0.16132726,0.1570889,0.924912375,0.6063069467669675,0.7921279890751105,0.6868661743615352,0.5231742763481073
0.16225262,0.14768475,0.9310905625,0.6535422550484997,0.7214269814984882,0.6856708383698596,0.5218597026280305
0.16266958,0.21702641,0.9233239375,0.6033745708228149,0.7628967783040278,0.6738039581975639,0.5081217639918982
0.16039832,0.1489322,0.9338251875,0.7071310915547547,0.6214637911140308,0.6615340110758118,0.494510765830536
0.16127862,0.1593079,0.9275375,0.6260579100293143,0.7535302853364731,0.6838835492282407,0.5197446256700539
0.16041857,0.14664556,0.9330965625000001,0.7093427844907412,0.6072810787356782,0.6540084918872893,0.485974730031509
0.16042154,0.14657211,0.9319291249999999,0.7341859536341606,0.5424006664680401,0.6237953755324164,0.4533947506314504
0.15890513,0.14787516,0.9316288125,0.6531756224889376,0.7310768114686487,0.6899176115443748,0.5267717126741502
0.15898092,0.1445997,0.93350025,0.6925047731470236,0.648494071588624,0.6697675075291816,0.5036230019097414
0.15915191,0.14381054,0.9341606874999999,0.7406393288068067,0.5649329316830471,0.6409357472500197,0.47174330193268976
0.15791243,0.14575496,0.9338,0.7194238292008501,0.595706166588424,0.6517159474807606,0.483686315516631
0.15929568,0.15039054,0.9334303749999999,0.7014822152407736,0.6264325788209846,0.6618364739175674,0.4947661958945463
0.15886028,0.14640245,0.9330061875,0.7651750644918778,0.5133207339778435,0.6144390490739202,0.44364992359209443
0.15799128,0.14312491,0.934015,0.6858215266972612,0.6766730973407293,0.6811533576152633,0.5167026712630854
0.15731493,0.1417154,0.9350373125,0.7022194680471789,0.6537409173890758,0.677057529157856,0.5120334122078634
0.15833221,0.14471218,0.9325091875,0.6604593630450348,0.7228771027969978,0.6902522183134965,0.527170895024313
0.15849543,0.14368114,0.933392125,0.6838846246498878,0.6698544880473796,0.6767573359102894,0.5116210800283516
0.1584721,0.14320736,0.9349369999999999,0.6915830868979753,0.6777988574628939,0.6845771266427987,0.5206848115244385
0.1579074,0.14312634,0.935547125,0.7306312866185487,0.6033425752378085,0.6608796625744658,0.4937258119600554
0.15864825,0.1444,0.9337888750000001,0.7312523750389202,0.5742107077674483,0.6432851865452934,0.4743065404941219
0.15696809,0.14549312,0.9340838124999999,0.7622059429127356,0.5328693542622042,0.6270773000916767,0.4568102741368153
0.16076003,0.1488125,0.9322893125,0.6806638686946699,0.6572069541031709,0.6687178451374256,0.5024280959049718
0.15940963,0.14156453,0.9346124375,0.691944997552832,0.6707819764519518,0.68113129020305,0.5166212069455985
0.15752609,0.1419576,0.93447525,0.6876406131286504,0.6790622993202224,0.6832627171373744,0.5190444988659308
0.15671305,0.14268205,0.9348528125,0.7157923753087365,0.6209378353019279,0.664932375514901,0.4982266640798637
0.1571143,0.14175266,0.9351795625,0.7080456324309412,0.6432133781747207,0.6738956742047137,0.5083004921860222
0.15781151,0.14429714,0.9348903125,0.7356622488201143,0.5839920689881284,0.651100462368996,0.4828735491905498
0.15801108,0.14207342,0.934017375,0.6749315035765464,0.7075236479027471,0.6907169359121424,0.527694056636399
0.1578879,0.1431693,0.9344179375,0.7455845429595327,0.5619631777133967,0.640678518331804,0.4713936352699226
0.1551814,0.14426215,0.93429775,0.7514271492334645,0.5514889387625619,0.6359548450972596,0.46632594831027135
0.15624136,0.14019966,0.9355515,0.7081023795450598,0.6474733023220327,0.6764221644255923,0.5112363348308843
0.15561843,0.1501778,0.934913375,0.7002375220601009,0.6540480744095534,0.6763537894995401,0.5111228390860296
0.15525228,0.14297256,0.9341515,0.6829602387240612,0.6852477498615825,0.6840819270705556,0.5200021138940163
0.15605873,0.14346667,0.9340898125,0.7604466833024496,0.5355035829071496,0.628307627534194,0.45813649646451604
0.15450157,0.14198679,0.9353543125,0.7061668843768174,0.6501142959311458,0.6768478339373667,0.5116928881334047
0.15543003,0.14208087,0.9355274375,0.7224329330931615,0.6180389773998768,0.6661372271251056,0.4995821885498115
0.15614448,0.14873448,0.9326260625,0.7856844296499141,0.4843054501757643,0.5992226708511674,0.4279490851037294
0.15546449,0.13964209,0.935784,0.710725641679174,0.6456987169131719,0.6766185702820198,0.5114194491142634
0.15438212,0.13977668,0.9355100000000001,0.6979795298067843,0.6705097352665008,0.6839293486410094,0.5198207864389075
0.15487844,0.1404683,0.9353231875,0.7035121180718131,0.6533004783888993,0.6774616083172271,0.5124833240858961
0.15318215,0.14025354,0.9357800625,0.7147337196909072,0.63741663764963,0.6738335165865132,0.508282973692769
0.15602708,0.14020756,0.9349459375,0.6851986207418361,0.6938442561497745,0.6894547696884128,0.526241898460106
0.15527175,0.14227667,0.9353199999999999,0.707473424920998,0.6444872948641674,0.674512818873525,0.5090434811094544
0.15423758,0.14090696,0.9361125625,0.7225842620877423,0.6272992660121488,0.6714972660269265,0.505603056019097
0.15286358,0.14089507,0.9354515,0.7019913446635463,0.6593641422971579,0.6800081378747942,0.5153413535062552
0.15481013,0.14487818,0.933670625,0.6776767615645384,0.6899820011595641,0.6837738313278496,0.5195959356851951
0.15443394,0.14059988,0.935731125,0.7234529362201536,0.6189159479768676,0.6670446965300958,0.5005196064057595
0.15352306,0.1404044,0.935699875,0.7205337762033281,0.6249536783915968,0.6692582015952176,0.5030695553804414
